港澳频道,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8



Tonton,#genre#
TV1,http://175.139.229.4:19981/stream/channelid/1784379294?profile=pass
TV2,http://175.139.229.4:19981/stream/channelid/352843799?profile=pass
TV3,http://175.139.229.4:19981/stream/channelid/1023815456?profile=pass
NTV7,http://175.139.229.4:19981/stream/channelid/940997854?profile=pass
8TV,http://175.139.229.4:19981/stream/channelid/1152516720?profile=pass
TV9,http://175.139.229.4:19981/stream/channelid/1798720844?profile=pass
TV Okey,http://175.139.229.4:19981/stream/channelid/1868151189?profile=pass
Sukan RTM,http://175.139.229.4:19981/stream/channelid/942382963?profile=pass
TV6,http://175.139.229.4:19981/stream/channelid/673302861?profile=pass
BERNAMA,http://175.139.229.4:19981/stream/channelid/263535450?profile=pass
TVS,http://175.139.229.4:19981/stream/channelid/2026983653?profile=pass
BES,http://175.139.229.4:19981/stream/channelid/276958679?profile=pass



极速港台,#genre#
大湾区卫视1,http://goo.bkpcp.top/mg/dwqws
TVB星河频道,http://go1.bkpcp.top/tl/null-7
无线华剧台,http://go1.bkpcp.top/tl/null-2
无线亚综台,http://go1.bkpcp.top/tl/null-3
无线娱乐台,http://go1.bkpcp.top/tl/null-4
无线新闻台,http://go1.bkpcp.top/tl/null-11
无线明珠台,http://go1.bkpcp.top/tl/null-12
无线娱乐新闻台,http://go1.bkpcp.top/tl/null-14
无线黄金华剧台,http://go1.bkpcp.top/tl/null-9
无线亚剧台,http://go1.bkpcp.top/tl/null-13
天映经典台,http://go1.bkpcp.top/tl/null-1
POPC台,http://go1.bkpcp.top/tl/popc
美亚电影台,http://go1.bkpcp.top/tl/null-5
大湾区卫视,http://jp1.jdiptv.cc/live/nfws.m3u8?kdstime=
AEC,http://php.jdshipin.com/smt.php?id=AEC
八度空间台,http://php.jdshipin.com/smt.php?id=TV8
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
