港澳频道,#genre#
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32



Smart321,#genre#
AEC,http://smt.1678520.xyz/smt3.2.1.php?id=AEC
千禧经典台,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
翡翠台,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbjade
AOD,http://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
欢喜台,http://smt.1678520.xyz/smt3.2.1.php?id=Huahee
全佳台,http://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
爱奇艺,http://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
Tvbentertainment,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbentertainment



风云,#genre#
华丽台,http://iptv.4666888.xyz/iptv2A.php?id=28
Mytv 1台,http://iptv.4666888.xyz/iptv2A.php?id=22
Mytv 2台,http://iptv.4666888.xyz/iptv2A.php?id=32
Mytv 3台,http://iptv.4666888.xyz/iptv2A.php?id=24
TVB DRAMA,http://iptv.4666888.xyz/iptv2A.php?id=33
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=34
无线J1,http://iptv.4666888.xyz/iptv2A.php?id=26
无线B1,http://iptv.4666888.xyz/iptv2A.php?id=25
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29
娱乐新闻台,http://iptv.4666888.xyz/iptv2A.php?id=36
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
鳳凰中文台,http://iptv.4666888.xyz/iptv2A.php?id=27
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
CCTV1综合,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV2财经,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV3综艺,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV4中文国际,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV13新闻,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV14少儿,http://iptv.4666888.xyz/iptv2A.php?id=12
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17
美亚电影(台),http://iptv.4666888.xyz/iptv2A.php?id=30
靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
邵氏武侠,http://iptv.4666888.xyz/iptv2A.php?id=40
邵氏电影,http://iptv.4666888.xyz/iptv2A.php?id=39
東森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
龍華电影,http://iptv.4666888.xyz/iptv2A.php?id=45
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
東森洋片,http://iptv.4666888.xyz/iptv2A.php?id=45
爱尔达综合,http://iptv.4666888.xyz/iptv2A.php?id=49
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
中视经典,http://iptv.4666888.xyz/iptv2A.php?id=54




极速,#genre#
凤凰卫视中文台,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
